covariate_mode,meal_type,model,quantile_tau,treat_offset,minutes,n_obs,ACME,ACME_lower,ACME_upper,ACME_p,ADE,ADE_lower,ADE_upper,ADE_p,total_effect,total_lower,total_upper,total_p,prop_mediated,m_resid_skew,m_resid_kurt,m_shapiro_p,y_resid_skew,y_resid_kurt,y_shapiro_p
pca,ALL,lmer,,15.0,135.0,190.0,-4.44239620085203,-7.975923446920072,-0.8738475961490939,0.006,6.601039533476315,2.177709793811895,11.37729754005723,0.004,2.158643332624285,-1.158780284440769,5.4243764148612446,0.18,-2.0579574836253114,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.1068665722337864,0.0913160484283119,0.9572544027256809
pca,ALL,lmer,,15.0,140.0,190.0,-4.120261796090011,-7.734357453035904,-0.750019744627948,0.024,6.253921716171531,1.9220638819475804,10.707057261000086,0.004,2.1336599200815205,-0.9102293956653208,5.685777376706468,0.212,-1.9310770930789145,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.1214912066711308,0.1688126067707944,0.9146134868522068
pca,ALL,lmer,,15.0,145.0,190.0,-3.949854778785824,-7.4552337442530545,-0.4215220086069805,0.026,6.081395315716096,1.6492558649662077,10.86862915872304,0.012,2.1315405369302716,-1.272108162933045,5.48920843089262,0.198,-1.853051682739372,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.1745575989099991,0.2705083009850551,0.7598655717034211
pca,ALL,lmer,,15.0,150.0,190.0,-3.749955789832612,-7.066614240042,-0.4331868634203668,0.038,5.6692501923297245,0.6828137283293128,10.280344643507965,0.022,1.9192944024971128,-1.383461188844095,5.232966494119783,0.262,-1.95382000018012,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2175127979264116,0.3778555862069553,0.6897408072553292
pca,ALL,lmer,,15.0,155.0,190.0,-4.1279892847883,-7.528301022488787,-0.6581731001339979,0.022,6.215395753704222,1.8186034234214037,10.663340790136514,0.006,2.0874064689159213,-1.0960540458070254,5.313620914226307,0.224,-1.977568502473857,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2419457960774705,0.5521305901773674,0.4497826005880156
pca,ALL,lmer,,15.0,160.0,190.0,-4.3756092003319615,-8.11355320954075,-1.0754551862972928,0.006,6.587185783316406,2.11018745792088,11.389116740045344,0.006,2.2115765829844447,-1.050127543370911,5.33571509078108,0.178,-1.9785022295846664,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2566000570510757,0.6386367292085868,0.2807121834460955
pca,ALL,lmer,,15.0,165.0,190.0,-3.849144696249448,-7.171547489676654,-0.757290687765517,0.02,6.0127909628338765,1.4877599613620665,10.55367950708941,0.01,2.163646266584429,-1.167711946597768,5.477623817395994,0.212,-1.7790083137414956,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2391730170824755,0.6894702919457729,0.2268060665352651
pca,ALL,lmer,,15.0,170.0,190.0,-3.8550417610370262,-7.283712788662496,-0.3732989241719009,0.02,6.11139423785069,1.4832760871475643,10.503535386244549,0.01,2.256352476813663,-0.9403535671895564,5.475415377699036,0.18,-1.7085281668762025,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2365527836264812,0.7433316150051383,0.1765202979379133
pca,ALL,lmer,,15.0,175.0,190.0,-3.821960657935393,-7.032491765485833,-0.3492807116837675,0.03,6.1027811950422395,1.644134612437835,10.593846059757848,0.008,2.2808205371068464,-1.0664294551958038,5.499509692558388,0.174,-1.6756954770248769,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2783390173959191,0.8198044948168608,0.0933360027650089
pca,ALL,lmer,,15.0,180.0,190.0,-3.5170249074050006,-7.232761891539847,-0.0353663225518101,0.046,5.820616219143332,0.9777393562787384,10.163880451275558,0.012,2.303591311738332,-0.8094947131242186,5.427906005951897,0.138,-1.526757324306363,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2460448397393362,0.8588393187925099,0.054299981672486
pca,ALL,lmer,,15.0,185.0,190.0,-3.535902897036376,-6.968529173975416,-0.3501176609465835,0.034,5.74512373328436,1.1884622949876074,10.078325914683662,0.024,2.2092208362479835,-0.8730409257901272,5.241505267564133,0.172,-1.6005203459159631,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2474183201796603,0.8707021565351627,0.049166781936482
pca,ALL,lmer,,15.0,190.0,190.0,-3.6329614672102255,-6.9784656543889385,-0.0282141844752682,0.05,5.84755277797238,1.2728596906358292,10.429732378233409,0.016,2.214591310762155,-0.9769376095630296,5.381216288917598,0.156,-1.6404658726670145,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2747718136071265,0.8110153090206818,0.0524320878664708
